category_id,name,url
1846,Laptop - Máy Vi Tính - Linh kiện,/laptop---may-vi-tinh---linh-kien/c1846
5350,Case Ổ Cứng- Hộp Đựng HDD Box - Dock Ổ Cứng,/case-o-cung--hop-dung-hdd-box---dock-o-cung/c5350
4293,Router Wifi,/router-wifi/c4293
28932,Màn Hình Phổ Thông,/man-hinh-pho-thong/c28932
4343,Bộ Kích Sóng Wifi,/bo-kich-song-wifi/c4343
28952,Máy chiếu,/may-chieu/c28952
1828,USB,/usb/c1828
28908,Ổ Đĩa Quang,/o-dia-quang/c28908
2146,Ổ Cứng SSD,/o-cung-ssd/c2146
28842,Ổ Cứng HDD Di Động,/o-cung-hdd-di-dong/c28842
6556,Máy In Laser,/may-in-laser/c6556
28840,Ổ Cứng SSD Di Động,/o-cung-ssd-di-dong/c28840
6561,Máy In Phun,/may-in-phun/c6561
4642,Phụ Kiện Thiết Bị Mạng,/phu-kien-thiet-bi-mang/c4642
4345,Bộ Phát Wifi Di Động 3G/4G - Mifi,/bo-phat-wifi-di-dong-3g/4g---mifi/c4345
4294,USB Wifi,/usb-wifi/c4294
2679,RAM Laptop,/ram-laptop/c2679
6255,Phần Mềm Máy Tính,/phan-mem-may-tinh/c6255
28944,Drums và Toner Cho Máy In Laser,/drums-va-toner-cho-may-in-laser/c28944
51698,TNSL Partner,/tnsl-partner/c51698
28838,Đĩa Trắng - Băng Cuộn,/dia-trang---bang-cuon/c28838
29006,Máy Đếm Tiền,/may-dem-tien/c29006
4051,Ổ Cứng HDD,/o-cung-hdd/c4051
1827,Ổ Cứng Di Động,/o-cung-di-dong/c1827
12672,Màn Hình Gaming,/man-hinh-gaming/c12672
12298,RAM Desktop,/ram-desktop/c12298
2458,Macbook,/macbook/c2458
28920,Adapter Sạc Laptop,/adapter-sac-laptop/c28920
4454,Bộ Chia Mạng - Switch,/bo-chia-mang---switch/c4454
11964,Bộ Lưu Điện - UPS,/bo-luu-dien---ups/c11964
28904,Quạt Tản Nhiệt,/quat-tan-nhiet/c28904
28906,Keo - Pad Tản Nhiệt,/keo---pad-tan-nhiet/c28906
28900,Nguồn Máy Tính,/nguon-may-tinh/c28900
2,Root,/root/c2
1815,Thiết Bị Số - Phụ Kiện Số,/thiet-bi-so---phu-kien-so/c1815
28950,Giấy In Ảnh,/giay-in-anh/c28950
28936,"Máy In Nhãn, Hóa Đơn","/may-in-nhan,-hoa-don/c28936"
4316,Access Point - Điểm Truy Cập,/access-point---diem-truy-cap/c4316
28942,Mực In Màu,/muc-in-mau/c28942
11966,Sound Card - Card Âm Thanh,/sound-card---card-am-thanh/c11966
12890,Thiết Bị Truyền Thông Hội Nghị,/thiet-bi-truyen-thong-hoi-nghi/c12890
28948,Giấy In Hóa Đơn - Giấy In Tem,/giay-in-hoa-don---giay-in-tem/c28948
29008,Laptop 2 trong 1,/laptop-2-trong-1/c29008
28930,Màn Hình Đồ Họa,/man-hinh-do-hoa/c28930
8094,Máy Tính All in one,/may-tinh-all-in-one/c8094
28960,Phụ kiện máy chiếu,/phu-kien-may-chieu/c28960
30020,Máy Scan Mã Vạch,/may-scan-ma-vach/c30020
11968,Linh Kiện Máy Tính Khác,/linh-kien-may-tinh-khac/c11968
29016,Máy Tính Bộ Thương Hiệu,/may-tinh-bo-thuong-hieu/c29016
11958,Card Màn Hình - VGA,/card-man-hinh---vga/c11958
4542,Máy Scan Tài Liệu,/may-scan-tai-lieu/c4542
28924,Pin Thay Thế Laptop,/pin-thay-the-laptop/c28924
5349,Thiết Bị Lưu Trữ Qua Mạng NAS,/thiet-bi-luu-tru-qua-mang-nas/c5349
10089,Máy Hủy Tài Liệu,/may-huy-tai-lieu/c10089
7361,Card Mạng,/card-mang/c7361
5172,Máy Tính Để Bàn Lắp Ráp,/may-tinh-de-ban-lap-rap/c5172
11956,Mainboard - Board Mạch Chủ,/mainboard---board-mach-chu/c11956
28922,Bàn Phím Thay Thế Laptop,/ban-phim-thay-the-laptop/c28922
28940,Linh Kiện và Phụ Kiện Máy In,/linh-kien-va-phu-kien-may-in/c28940
29010,Laptop Truyền Thống,/laptop-truyen-thong/c29010
28894,Bộ Chuyển Đổi - Transceivers,/bo-chuyen-doi---transceivers/c28894
28916,KVM Switches - Switch HDMI,/kvm-switches---switch-hdmi/c28916
8089,Máy In Ảnh,/may-in-anh/c8089
11960,Vỏ Case - Thùng Máy,/vo-case---thung-may/c11960
12886,Máy Chấm Công,/may-cham-cong/c12886
28914,Thiết Bị Streaming và Capture Cards,/thiet-bi-streaming-va-capture-cards/c28914
11962,Bộ Vi Xử Lý CPU,/bo-vi-xu-ly-cpu/c11962
5584,Laptop Gaming,/laptop-gaming/c5584
8129,Linh Kiện Máy Tính - Phụ Kiện Máy Tính,/linh-kien-may-tinh---phu-kien-may-tinh/c8129
28934,Màn Hình Di Động,/man-hinh-di-dong/c28934
28896,Ăng-Ten Mạng,/ang-ten-mang/c28896
28946,Nhãn In,/nhan-in/c28946
4585,Modem ADSL,/modem-adsl/c4585
7369,Mini PC,/mini-pc/c7369
29014,Towers - Máy Chủ - Server,/towers---may-chu---server/c29014
